Body,Jobs
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0
Ok lar... Joking wif u oni...,0
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0
U dun say so early hor... U c already then say...,0
"Nah I don't think he goes to usf, he lives around here though",0
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",0
Even my brother is not like to speak with me. They treat me like aids patent.,0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0
I HAVE A DATE ON SUNDAY WITH WILL!!,0
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0
Oh k...i'm watching here:),0
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0
Fine if thats the way u feel. Thats the way its gota b,0
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",0
Is that seriously how you spell his name?,0
I‘m going to try for 2 months ha ha only joking,0
So ü pay first lar... Then when is da stock comin...,0
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0
Ffffffffff. Alright no way I can meet up with you sooner?,0
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0
Lol your always so convincing.,0
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,0
K tell me anything about you.,0
For fear of fainting with the of all that housework you just did? Quick have a cuppa,0
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0
"Oops, I'll let you know when my roommate's done",0
I see the letter B on my car,0
Anything lor... U decide...,0
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0
WHO ARE YOU SEEING?,0
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0
No calls..messages..missed calls,0
Didn't you get hep b immunisation in nigeria.,0
"Fair enough, anything going on?",0
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0
What you thinked about me. First time you saw me in class.,0
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",0
"Sorry, I'll call later in meeting.",0
Tell where you reached,0
Yes..gauti and sehwag out of odi series.,0
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0
Ha ha ha good joke. Girls are situation seekers.,0
Its a part of checking IQ,0
"Sorry my roommates took forever, it ok if I come by now?",0
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",0
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",0
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",0
I plane to give on this month end.,0
Wah lucky man... Then can save money... Hee...,0
Finished class where are you.,0
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0
K..k:)where are you?how did you performed?,0
U can call me now...,0
I am waiting machan. Call me once you free.,0
Thats cool. i am a gentleman and will treat you with dignity and respect.,0
I like you peoples very much:) but am very shy pa.,0
Does not operate after  &lt;#&gt;  or what,0
Its not the same here. Still looking for a job. How much do Ta's earn there.,0
"Sorry, I'll call later",0
K. Did you call me just now ah?,0
Ok i am on the way to home hi hi,0
You will be in the place of that man,0
Yup next stop.,0
"I call you later, don't have network. If urgnt, sms me.",0
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0
I'm really not up to it still tonight babe,0
"Ela kano.,il download, come wen ur free..",0
Yeah do! Don‘t stand to close tho- you‘ll catch something!,0
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,0
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,0
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",0
Watching telugu movie..wat abt u?,0
i see. When we finish we have loads of loans to pay,0
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0
I see a cup of coffee animation,0
Please don't text me anymore. I have nothing else to say.,0
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0
I'm still looking for a car to buy. And have not gone 4the driving test yet.,0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0
Umma my life and vava umma love you lot dear,0
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0
"Aight, I'll hit you up when I get some cash",0
How would my ip address test that considering my computer isn't a minecraft server,0
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0
Dont worry. I guess he's busy.,0
What is the plural of the noun research?,0
Going for dinner.msg you after.,0
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),0
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,0
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",0
here is my new address -apples&pairs&all that malarky,0
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,0
I am going to sao mu today. Will be done only at 12,0
Ü predict wat time ü'll finish buying?,0
"Good stuff, will do.",0
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0
Are you there in room.,0
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0
K..k:)how much does it cost?,0
I'm home.,0
"Dear, will call Tmorrow.pls accomodate.",0
First answer my question.,0
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,0
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,0
I only haf msn. It's yijue@hotmail.com,0
He is there. You call and meet him,0
No no. I will check all rooms befor activities,0
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,0
"K, text me when you're on the way",0
"Sir, Waiting for your mail.",0
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0
I know you are. Can you pls open the back?,0
Yes see ya not on the dot,0
Whats the staff name who is taking class for us?,0
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",0
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0
K..i deleted my contact that why?,0
Sindu got job in birla soft ..,0
The wine is flowing and i'm i have nevering..,0
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0
Ok... Ur typical reply...,0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0
Aaooooright are you at work?,0
I'm leaving my house now...,0
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,0
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0
New car and house for my parents.:)i have only new job in hand:),0
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,0
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",0
I place all ur points on e cultures module already.,0
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,0
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0
Great escape. I fancy the bridge but needs her lager. See you tomo,0
Yes :)it completely in out of form:)clark also utter waste.,0
"Sir, I need AXIS BANK account no and bank address.",0
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",0
What time you coming down later?,0
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",0
"Well, i'm gonna finish my bath now. Have a good...fine night.",0
Let me know when you've got the money so carlos can make the call,0
U still going to the mall?,0
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0
Text her. If she doesnt reply let me know so i can have her log in,0
